Id,Name,Received_Amount__c
a0VRg000002C6oTMAS,RV-53,69205
a0VRg000002C8DZMA0,RV-54,55000
a0VRg000002C8K1MAK,RV-55,37402.4
a0VRg000002C8LdMAK,RV-56,35000
a0VRg000002C8NFMA0,RV-57,35000
a0VRg000002C8WyMAK,RV-59,36530
a0VRg000002C901MAC,RV-58,34980
a0VRg000002CBjPMAW,RV-60,36530
a0VRg000002CHGrMAO,RV-61,37000
a0VRg000002CHvBMAW,RV-62,19908
a0VRg000002CI4rMAG,RV-63,37000
a0VRg000002CcUzMAK,RV-64,176300
a0VRg000002CcWbMAK,RV-65,37000
a0VRg000002CcZpMAK,RV-66,19908
a0VRg000002Ccl7MAC,RV-67,19687.5
a0VRg000002CcmjMAC,RV-68,19687.5
a0VRg000002Cd6DMAS,RV-75,29802.46
a0VRg000002CdMTMA0,RV-70,196767.22
a0VRg000002CdNpMAK,RV-69,15000
a0VRg000002CdPRMA0,RV-71,29802.46
a0VRg000002CdR3MAK,RV-72,149012.3
a0VRg000002CdSfMAK,RV-73,29802.46
a0VRg000002CdUHMA0,RV-74,29802.46
a0VRg000002CdVtMAK,RV-76,29802.46
a0VRg000002CdXVMA0,RV-77,29802.46
a0VRg000002CeYPMA0,RV-78,19908
a0VRg000002ChRSMA0,RV-80,2785981.27
a0VRg000002ChhaMAC,RV-84,812368
a0VRg000002Ci5lMAC,RV-79,2785981.27
a0VRg000002Ci7NMAS,RV-81,2321518.03
a0VRg000002Ci8zMAC,RV-82,2091152.54
a0VRg000002CiLtMAK,RV-83,50000
a0VRg000002D1RlMAK,RV-85,81466
a0VRg000002D2DIMA0,RV-87,450267.58
a0VRg000002D2xJMAS,RV-86,37000
a0VRg000002D2yvMAC,RV-88,345819.7
a0VRg000002D30XMAS,RV-89,345820
a0VRg000002D329MAC,RV-90,69123.94
a0VRg000002D33lMAC,RV-91,69123.94
a0VRg000002D5QYMA0,RV-93,69124
a0VRg000002D5ojMAC,RV-92,69123.94
a0VRg000002D5tZMAS,RV-94,69134
a0VRg000002D5vBMAS,RV-95,69174
a0VRg000002D685MAC,RV-96,1
a0VRg000002D6G9MAK,RV-97,36500
a0VRg000002DKkXMAW,RV-98,179400
a0VRg000002DQmjMAG,RV-100,37000
a0VRg000002DQoLMAW,RV-101,173834.87
a0VRg000002DQpxMAG,RV-102,168957.37
a0VRg000002DQrZMAW,RV-103,28972
a0VRg000002DQtBMAW,RV-104,28972
a0VRg000002DQunMAG,RV-105,28972
a0VRg000002DQwPMAW,RV-106,28972
a0VRg000002DQy1MAG,RV-107,28972
a0VRg000002DQzdMAG,RV-108,28972
a0VRg000002DR1FMAW,RV-109,28972
a0VRg000002DR2rMAG,RV-110,28972
a0VRg000002DR65MAG,RV-111,28972
a0VRg000002DR7hMAG,RV-112,28972
a0VRg000002DR9JMAW,RV-113,28972
a0VRg000002DUVNMA4,RV-114,21000
a0VRg000002DVXtMAO,RV-115,10000
a0VRg000002DVjBMAW,RV-116,10000
a0VRg000002DVo1MAG,RV-117,10000
a0VRg000002DWCDMA4,RV-118,45632
a0VRg000002DWDpMAO,RV-119,700000
a0VRg000002DWFRMA4,RV-120,726000
a0VRg000002DWH3MAO,RV-121,120178
a0VRg000002DWH4MAO,RV-123,37000
a0VRg000002DWIfMAO,RV-122,64000
a0VRg000002DX1pMAG,RV-124,37000
a0VRg000002DlZRMA0,RV-125,36914.5
a0VRg000002Dlb3MAC,RV-126,300419.6
a0VRg000002DleHMAS,RV-127,135955.26
a0VRg000002DlftMAC,RV-128,334417.96
a0VRg000002Dlj7MAC,RV-129,97992.07
a0VRg000002DlpZMAS,RV-130,34779.49
a0VRg000002DnD3MAK,RV-131,18210
a0VRg000002DnEfMAK,RV-132,69123.94
a0VRg000002DpDFMA0,RV-133,80467.52
a0VRg000002DpLJMA0,RV-134,37000
a0VRg000002DpbRMAS,RV-135,63093.03
a0VRg000002DphtMAC,RV-136,112902.58
a0VRg000002DpjVMAS,RV-137,179919
a0VRg000002DpmjMAC,RV-138,29987
a0VRg000002DpoLMAS,RV-139,29987
a0VRg000002DppxMAC,RV-140,29987
a0VRg000002DptBMAS,RV-141,436324.12
a0VRg000002DqFlMAK,RV-142,37000
a0VRg000002E7enMAC,RV-143,164884
a0VRg000002E7gPMAS,RV-144,51843
a0VRg000002E7i1MAC,RV-145,37469
a0VRg000002E7uvMAC,RV-146,15970
a0VRg000002E977MAC,RV-147,37000
a0VRg000002E98jMAC,RV-148,465996.95
a0VRg000002E9ALMA0,RV-149,29403
a0VRg000002E9GnMAK,RV-150,36921.25
a0VRg000002E9LdMAK,RV-151,37127.33
a0VRg000002E9NFMA0,RV-152,1724.19
a0VRg000002EFvjMAG,RV-153,29403
a0VRg000002EGADMA4,RV-154,29403
a0VRg000002EGBpMAO,RV-155,29404
a0VRg000002EGBqMAO,RV-157,29403
a0VRg000002EGDRMA4,RV-156,29403
a0VRg000002EGF3MAO,RV-158,275000
a0VRg000002EGVBMA4,RV-159,37000
a0VRg000002Eb1lMAC,RV-160,42409.24
a0VRg000002Eb3NMAS,RV-161,89298.8
a0VRg000002Eb4zMAC,RV-162,37000
a0VRg000002Eb6bMAC,RV-163,37000
a0VRg000002EbrNMAS,RV-164,160605.5
a0VRg000002EbubMAC,RV-165,37000
a0VRg000002EbwDMAS,RV-166,160605.5
a0VRg000002EbwEMAS,RV-168,36925
a0VRg000002EcCLMA0,RV-167,37000
a0VRg000002EcXJMA0,RV-169,91287.12
a0VRg000002EciiMAC,RV-175,37000
a0VRg000002EclpMAC,RV-170,48797
a0VRg000002Ed1xMAC,RV-173,90485.9
a0VRg000002Ed3ZMAS,RV-174,99175.2
a0VRg000002EdwQMAS,RV-178,80206.8
a0VRg000002Eh7DMAS,RV-176,173969.4
a0VRg000002EhS9MAK,RV-177,5107.2
a0VRg000002EhTlMAK,RV-179,37077.95
a0VRg000002EhVNMA0,RV-180,275801.5
a0VRg000002EhWzMAK,RV-181,222833
a0VRg000002EhaDMAS,RV-182,43836
a0VRg000002EhdRMAS,RV-183,44500
a0VRg000002Ehf3MAC,RV-184,36570
a0VRg000002EhjtMAC,RV-185,88570
a0VRg000002EhlVMAS,RV-186,177140.04
a0VRg000002Ei01MAC,RV-187,44285
a0VRg000002ExALMA0,RV-188,29802.46
a0VRg000002ExWvMAK,RV-189,29987
a0VRg000002ExdNMAS,RV-190,29987
a0VRg000002ExtVMAS,RV-191,29987
a0VRg000002Ey4nMAC,RV-192,59974
a0VRg000002Ey6PMAS,RV-193,29987
a0VRg000002Ey81MAC,RV-194,29987
a0VRg000002Ey9dMAC,RV-195,29987
a0VRg000002EyBFMA0,RV-196,29987
a0VRg000002EyCrMAK,RV-197,29987
a0VRg000002EyETMA0,RV-198,29987
a0VRg000002F0JWMA0,RV-199,64408
a0VRg000002F0crMAC,RV-200,484499
a0VRg000002F0eTMAS,RV-201,453000
a0VRg000002F0o9MAC,RV-202,9500
a0VRg000002F0zRMAS,RV-204,30000
a0VRg000002F113MAC,RV-205,451429
a0VRg000002F1AjMAK,RV-206,300000
a0VRg000002F1CLMA0,RV-207,324283.1
a0VRg000002F1FZMA0,RV-208,64856.62
a0VRg000002F1HBMA0,RV-209,64856.62
a0VRg000002F1InMAK,RV-210,64856.62
a0VRg000002F1KPMA0,RV-211,64856.62
a0VRg000002F1NdMAK,RV-212,64856.62
a0VRg000002F1PFMA0,RV-213,64856.62
a0VRg000002F1QrMAK,RV-214,64856.62
a0VRg000002F1U5MAK,RV-215,34366.92
a0VRg000002FAxBMAW,RV-216,45417.72
a0VRg000002FAynMAG,RV-217,174413.6
a0VRg000002FB0PMAW,RV-218,80777.66
a0VRg000002FB21MAG,RV-219,84305.04
a0VRg000002FB3dMAG,RV-220,44285
a0VRg000002FB5FMAW,RV-221,90194.33
a0VRg000002FB6rMAG,RV-222,2000000
a0VRg000002FBtHMAW,RV-226,89415.6
a0VRg000002FBy6MAG,RV-223,37000
a0VRg000002FChFMAW,RV-224,4081.3
a0VRg000002FCirMAG,RV-225,90710.4
a0VRg000002FGHpMAO,RV-227,37280
a0VRg000002FGJRMA4,RV-228,358751
a0VRg000002FGL3MAO,RV-229,177442.26
a0VRg000002FGMfMAO,RV-230,54935
a0VRg000002FGOHMA4,RV-231,39925
a0VRg000002FGPtMAO,RV-232,47606
a0VRg000002FGRVMA4,RV-233,47670
a0VRg000002FGT7MAO,RV-234,47815
a0VRg000002FGUjMAO,RV-235,94640
a0VRg000002FGWLMA4,RV-236,51030
a0VRg000002FGXxMAO,RV-237,52795
a0VRg000002FGZZMA4,RV-238,45575
a0VRg000002FGbBMAW,RV-239,36500
a0VRg000002FGcnMAG,RV-240,404804
a0VRg000002FGePMAW,RV-241,331314.04
a0VRg000002FGg1MAG,RV-242,91323
a0VRg000002FGhdMAG,RV-243,93378
a0VRg000002FGjFMAW,RV-244,45512
a0VRg000002FGkrMAG,RV-245,45575
a0VRg000002FJXRMA4,RV-246,46021
a0VRg000002FJZ3MAO,RV-247,72960
a0VRg000002FJafMAG,RV-248,46021
a0VRg000002FJcHMAW,RV-249,72960
a0VRg000002FJdtMAG,RV-250,89837.4
a0VRg000002FJfVMAW,RV-251,88615.14
a0VRg000002FJlyMAG,RV-252,88883.5
a0VRg000002FL7pMAG,RV-253,29403
a0VRg000002FL9RMAW,RV-254,29403
a0VRg000002FLB3MAO,RV-255,74000
a0VRg000002FLEHMA4,RV-256,164170.61
a0VRg000002FLFtMAO,RV-257,132350
a0VRg000002FLMLMA4,RV-258,50000
a0VRg000002FLe6MAG,RV-263,37000
a0VRg000002FM0fMAG,RV-259,17000
a0VRg000002FMFBMA4,RV-260,37277
a0VRg000002FMNFMA4,RV-261,360623.2
a0VRg000002FMS5MAO,RV-262,74111
a0VRg000002FMgbMAG,RV-264,417999.24
a0VRg000002FMlRMAW,RV-265,79758.36
a0VRg000002FMn3MAG,RV-266,18000
a0VRg000002Fc5RMAS,RV-267,20000
a0VRg000002Fc73MAC,RV-268,386801
a0VRg000002Fc8fMAC,RV-269,201824.52
a0VRg000002FcAHMA0,RV-270,35000
a0VRg000002FcBtMAK,RV-271,101000
a0VRg000002FcDVMA0,RV-272,33650
a0VRg000002FcF7MAK,RV-273,174739.2
a0VRg000002FcQPMA0,RV-274,2567759.54
a0VRg000002Fd37MAC,RV-276,64062.32
a0VRg000002Fd4jMAC,RV-277,76140.4
a0VRg000002FdKrMAK,RV-278,37000
a0VRg000002FdO5MAK,RV-279,170175
a0VRg000002FdSvMAK,RV-280,174892
a0VRg000002FdUXMA0,RV-281,58277
a0VRg000002FdkfMAC,RV-282,58291.5
a0VRg000002FdmHMAS,RV-283,29147
a0VRg000002FdntMAC,RV-284,58294
a0VRg000002FdpVMAS,RV-285,116584
a0VRg000002Fdr7MAC,RV-286,50300
a0VRg000002FdsjMAC,RV-287,37000
a0VRg000002FduLMAS,RV-288,66071
a0VRg000002FdvxMAC,RV-289,120302
a0VRg000002FdxZMAS,RV-290,129000
a0VRg000002FdzBMAS,RV-291,91220
a0VRg000002Fe0nMAC,RV-292,50313
a0VRg000002Fe2PMAS,RV-293,31460
a0VRg000002Fe41MAC,RV-294,181628
a0VRg000002Fe5dMAC,RV-295,54372
a0VRg000002Fe7FMAS,RV-296,99400
a0VRg000002FgnNMAS,RV-297,1000000
a0VRg000002FgsDMAS,RV-298,7951000
a0VRg000002FgvRMAS,RV-299,100000
a0VRg000002Fgx3MAC,RV-300,2500000
a0VRg000002FgyfMAC,RV-301,13003500
a0VRg000002Fh0HMAS,RV-302,55000
a0VRg000002Fh1tMAC,RV-303,96261.01
a0VRg000002Fh57MAC,RV-304,285873.95
a0VRg000002Fh6jMAC,RV-305,499444
a0VRg000002Fh8LMAS,RV-306,498000
a0VRg000002Fh9xMAC,RV-307,100000
a0VRg000002FhBZMA0,RV-308,7340000
a0VRg000002Fht7MAC,RV-309,50000
a0VRg000002FhwLMAS,RV-310,10755150
a0VRg000002FhxxMAC,RV-311,4910000
a0VRg000002FyM5MAK,RV-312,30456
a0VRg000002FyxBMAS,RV-313,82953.6
a0VRg000002Fz21MAC,RV-314,16000
a0VRg000002GAOrMAO,RV-315,37000
a0VRg000002GAS5MAO,RV-316,413842.71
a0VRg000002GAWvMAO,RV-317,215528.05
a0VRg000002GQ5SMAW,RV-318,106112
a0VRg000002GQezMAG,RV-329,50000
a0VRg000002GQwfMAG,RV-319,27900
a0VRg000002GRJFMA4,RV-320,37000
a0VRg000002GRKrMAO,RV-321,183148.81
a0VRg000002GRMTMA4,RV-322,154999.15
a0VRg000002GRO5MAO,RV-323,31000
a0VRg000002GRPhMAO,RV-324,31000
a0VRg000002GRRJMA4,RV-325,31000
a0VRg000002GRSvMAO,RV-326,31000
a0VRg000002GRUXMA4,RV-327,31000
a0VRg000002GRW9MAO,RV-328,31000
a0VRg000002GRZNMA4,RV-330,390683
a0VRg000002GRazMAG,RV-331,31000
a0VRg000002GRcbMAG,RV-332,31000
a0VRg000002GReDMAW,RV-333,31000
a0VRg000002GRfpMAG,RV-334,31000
a0VRg000002GRhRMAW,RV-335,31000
a0VRg000002GRj3MAG,RV-336,31000
a0VRg000002GRkfMAG,RV-337,31000
a0VRg000002GRntMAG,RV-338,142257.39
a0VRg000002GRpVMAW,RV-339,60053
a0VRg000002GRr7MAG,RV-340,170709
a0VRg000002GRsjMAG,RV-341,56902.96
a0VRg000002GRuLMAW,RV-342,28451.48
a0VRg000002GRvxMAG,RV-343,28451.48
a0VRg000002GRxZMAW,RV-344,56902.96
a0VRg000002GRzBMAW,RV-345,28451.48
a0VRg000002GU0zMAG,RV-346,156000
a0VRg000002GU2bMAG,RV-347,65542.86
a0VRg000002GU5pMAG,RV-348,152850.14
a0VRg000002GU7RMAW,RV-349,3150
a0VRg000002GU93MAG,RV-350,30000
a0VRg000002GUAfMAO,RV-351,30000
a0VRg000002GVTJMA4,RV-352,73500
a0VRg000002GVWXMA4,RV-353,66001.1
a0VRg000002GVhpMAG,RV-354,30000
a0VRg000002GVl3MAG,RV-355,7000000
a0VRg000002GlQ1MAK,RV-356,500000
a0VRg000002GlZmMAK,RV-364,284340.7
a0VRg000002GlegMAC,RV-359,380042.5
a0VRg000002GmCPMA0,RV-357,74000
a0VRg000002GmE1MAK,RV-358,27118
a0VRg000002GmKTMA0,RV-360,387956
a0VRg000002GmSXMA0,RV-361,380042.5
a0VRg000002GmcDMAS,RV-362,211007.52
a0VRg000002GmtxMAC,RV-363,50000
a0VRg000002GmvZMAS,RV-365,136886.28
a0VRg000002GpBtMAK,RV-366,7800000
a0VRg000002GqZNMA0,RV-367,37000
a0VRg000002GqcbMAC,RV-368,909510
a0VRg000002GqeDMAS,RV-369,5461533
a0VRg000002GqkfMAC,RV-370,9756721
a0VRg000002GqntMAC,RV-371,3200000
a0VRg000002GurVMAS,RV-372,1271845.48
a0VRg000002H2M2MAK,RV-393,310275.96
a0VRg000002H2kDMAS,RV-373,410213
a0VRg000002H2lpMAC,RV-374,81820
a0VRg000002H2nRMAS,RV-375,79391.42
a0VRg000002H2p3MAC,RV-376,55000
a0VRg000002H2qfMAC,RV-377,84380
a0VRg000002HEwgMAG,RV-384,51562.83
a0VRg000002HGFJMA4,RV-379,37000
a0VRg000002HGqPMAW,RV-380,171876.1
a0VRg000002HGqQMAW,RV-387,51562
a0VRg000002HGvFMAW,RV-381,71900.44
a0VRg000002HH3JMAW,RV-382,171876.1
a0VRg000002HH4vMAG,RV-383,171876.1
a0VRg000002HH89MAG,RV-385,51562.83
a0VRg000002HH9lMAG,RV-386,51562.83
a0VRg000002HHOIMA4,RV-394,28638.46
a0VRg000002HHo5MAG,RV-388,201530
a0VRg000002HHrJMAW,RV-389,180000
a0VRg000002HHsvMAG,RV-390,399977
a0VRg000002HHuXMAW,RV-391,60953
a0VRg000002HI0zMAG,RV-392,36743.55
a0VRg000002HI2bMAG,RV-395,85890
a0VRg000002HI4DMAW,RV-396,171780
a0VRg000002HI5pMAG,RV-397,28630
a0VRg000002HI7RMAW,RV-398,28630
a0VRg000002HICHMA4,RV-399,860442.8
a0VRg000002HINZMA4,RV-400,37000
a0VRg000002HIPBMA4,RV-401,85792.44
a0VRg000002HIQnMAO,RV-402,350000
a0VRg000002HISPMA4,RV-403,669488
a0VRg000002HIU1MAO,RV-404,200844
a0VRg000002HIVdMAO,RV-405,133896
a0VRg000002HIYrMAO,RV-406,66948
a0VRg000002HIc5MAG,RV-407,66948
a0VRg000002HIozMAG,RV-408,50000
a0VRg000002HKNlMAO,RV-409,2000000
a0VRg000002HKvdMAG,RV-410,5300000
a0VRg000002HX1dMAG,RV-411,85631
a0VRg000002HXeLMAW,RV-412,17808.92
a0VRg000002HXfxMAG,RV-413,95141.36
a0VRg000002HY2XMAW,RV-414,1262000
a0VRg000002HYKHMA4,RV-415,65989.66
a0VRg000002HYLtMAO,RV-416,100000
a0VRg000002HYNVMA4,RV-417,37000
a0VRg000002HYP7MAO,RV-418,65335.64
a0VRg000002HYQjMAO,RV-419,118464.1
a0VRg000002HYSLMA4,RV-420,186556.92
a0VRg000002HYTxMAO,RV-421,31093
a0VRg000002HYVZMA4,RV-422,31093
a0VRg000002HYXBMA4,RV-423,31093
a0VRg000002HYYnMAO,RV-424,31093
a0VRg000002HYaPMAW,RV-425,31093
a0VRg000002HYc1MAG,RV-426,31093
a0VRg000002HYddMAG,RV-427,31093
a0VRg000002HYfFMAW,RV-428,31093
a0VRg000002HYgrMAG,RV-429,31093
a0VRg000002HYiTMAW,RV-430,31093
a0VRg000002HYk5MAG,RV-431,31093
a0VRg000002HYlhMAG,RV-432,31093
a0VRg000002HYnJMAW,RV-433,31093
a0VRg000002HYs9MAG,RV-434,12955.04
a0VRg000002Hb0PMAS,RV-435,37000
a0VRg000002Hb0QMAS,RV-442,26187
a0VRg000002Hb21MAC,RV-436,149305.92
a0VRg000002Hb3dMAC,RV-437,157115.45
a0VRg000002Hb5FMAS,RV-438,52529
a0VRg000002Hb8TMAS,RV-439,26187
a0VRg000002HbA5MAK,RV-440,26187
a0VRg000002HbBhMAK,RV-441,26187
a0VRg000002HbDJMA0,RV-443,26187
a0VRg000002HbEvMAK,RV-444,26187
a0VRg000002HbGXMA0,RV-445,26187
a0VRg000002HbI9MAK,RV-446,26187
a0VRg000002HbJlMAK,RV-447,26187
a0VRg000002HbLNMA0,RV-448,26187
a0VRg000002HbMzMAK,RV-449,26187
a0VRg000002Hta1MAC,RV-450,85797
a0VRg000002Hv2LMAS,RV-451,37000
a0VRg000002Hv2MMAS,RV-453,337553.13
a0VRg000002Hv3xMAC,RV-452,101171.25
a0VRg000002Hv5ZMAS,RV-454,337553
a0VRg000002Hv7BMAS,RV-455,405066
a0VRg000002Hv8nMAC,RV-456,67511
a0VRg000002HvAPMA0,RV-457,67511
a0VRg000002HvC1MAK,RV-458,40000
a0VRg000002HvDdMAK,RV-459,37000
a0VRg000002HvFFMA0,RV-460,294825.81
a0VRg000002HvGrMAK,RV-461,54780
a0VRg000002HvITMA0,RV-462,164340
a0VRg000002HvK5MAK,RV-463,109560
a0VRg000002HvLhMAK,RV-464,109560
a0VRg000002Hvf6MAC,RV-465,200000
a0VRg000002HvjxMAC,RV-470,880951
a0VRg000002HxCJMA0,RV-469,2194500
a0VRg000002Hy3ZMAS,RV-467,952150
a0VRg000002HzkLMAS,RV-468,2372500
a0VRg000002I0TXMA0,RV-473,4400000
a0VRg000002I19SMAS,RV-472,2194500
a0VRg000002I1m9MAC,RV-475,5724391
a0VRg000002I2qFMAS,RV-466,2172500
a0VRg000002I3fpMAC,RV-471,2194500
a0VRg000002I3hRMAS,RV-474,1290159
a0VRg000002I3sjMAC,RV-476,109800
a0VRg000002I3vxMAC,RV-477,109800
a0VRg000002I4C5MAK,RV-478,42000
a0VRg000002I4qPMAS,RV-479,91500
a0VRg000002I59lMAC,RV-480,37000
a0VRg000002I5CzMAK,RV-481,214790
a0VRg000002IN8HMAW,RV-482,146853
a0VRg000002IOE1MAO,RV-483,200000
a0VRg000002IOKTMA4,RV-484,51750
a0VRg000002IRztMAG,RV-485,575000
a0VRg000002IjWzMAK,RV-486,600000
a0VRg000002IjYbMAK,RV-487,133736.28
a0VRg000002IjaDMAS,RV-488,31000
a0VRg000002IjbpMAC,RV-489,299921.25
a0VRg000002IjdRMAS,RV-490,210050.8
a0VRg000002IjjtMAC,RV-491,38440.08
a0VRg000002IkjCMAS,RV-500,29246.93
a0VRg000002IkpdMAC,RV-492,81460
a0VRg000002IkrFMAS,RV-493,88195.2
a0VRg000002IksrMAC,RV-494,80026.18
a0VRg000002IkuTMAS,RV-495,129280
a0VRg000002Ikw6MAC,RV-510,11918.02
a0VRg000002Il49MAC,RV-496,39500
a0VRg000002Il7NMAS,RV-497,61674.4
a0VRg000002IlAbMAK,RV-498,106811
a0VRg000002IlH3MAK,RV-499,175736.09
a0VRg000002IlIfMAK,RV-501,29640.44
a0VRg000002IlKHMA0,RV-502,29275.14
a0VRg000002IlLtMAK,RV-503,29275.14
a0VRg000002IlNVMA0,RV-504,29275.14
a0VRg000002IlP7MAK,RV-505,29275.14
a0VRg000002IlSLMA0,RV-506,29275.14
a0VRg000002IlXBMA0,RV-507,29275.14
a0VRg000002IlYnMAK,RV-508,15000
a0VRg000002Ilc1MAC,RV-509,1725.25
a0VRg000002IlgrMAC,RV-511,29235.07
a0VRg000002IliTMAS,RV-512,29271.55
a0VRg000002Im53MAC,RV-513,18350
a0VRg000002ImxtMAC,RV-514,37000
a0VRg000002In2lMAC,RV-521,28664
a0VRg000002In4LMAS,RV-515,310119.83
a0VRg000002In5xMAC,RV-516,57238
a0VRg000002In7ZMAS,RV-517,57328
a0VRg000002InCPMA0,RV-518,85992
a0VRg000002InFdMAK,RV-519,85992
a0VRg000002InHFMA0,RV-520,28664
a0VRg000002InPJMA0,RV-522,28664.16
a0VRg000002J145MAC,RV-523,300000
a0VRg000002J15hMAC,RV-524,432571.3
a0VRg000002J17JMAS,RV-525,36700
a0VRg000002J18vMAC,RV-526,431679.9
a0VRg000002J1AXMA0,RV-527,332310
a0VRg000002J1C9MAK,RV-528,99693
a0VRg000002J1DlMAK,RV-529,99693
a0VRg000002J1FNMA0,RV-530,99693
a0VRg000002J1GzMAK,RV-531,99693
a0VRg000002J1IbMAK,RV-532,99693
a0VRg000002J1KDMA0,RV-533,99693
a0VRg000002J1LpMAK,RV-534,66462
a0VRg000002J1NRMA0,RV-535,66462
a0VRg000002J1P3MAK,RV-536,3150
a0VRg000002J1XBMA0,RV-537,36700
a0VRg000002J1fDMAS,RV-545,27635
a0VRg000002J32gMAC,RV-539,165808
a0VRg000002J3DxMAK,RV-538,159892.76
a0VRg000002J3FZMA0,RV-540,27635
a0VRg000002J3HBMA0,RV-541,27635
a0VRg000002J3InMAK,RV-542,27635
a0VRg000002J3IoMAK,RV-544,27635
a0VRg000002J3KPMA0,RV-543,27635
a0VRg000002J3M1MAK,RV-546,27635
a0VRg000002J3NdMAK,RV-547,37000
a0VRg000002J3PFMA0,RV-548,343862.2
a0VRg000002J3QrMAK,RV-549,58088
a0VRg000002J3STMA0,RV-550,58118
a0VRg000002J3U5MAK,RV-551,29060
a0VRg000002J3VhMAK,RV-552,29060
a0VRg000002J3XJMA0,RV-553,29060
a0VRg000002J3XKMA0,RV-560,29468
a0VRg000002J3YvMAK,RV-554,29060
a0VRg000002J3aXMAS,RV-555,29060
a0VRg000002J3c9MAC,RV-556,29060
a0VRg000002J3dlMAC,RV-557,29060
a0VRg000002J3fNMAS,RV-558,29060
a0VRg000002J3gzMAC,RV-559,29060
a0VRg000002JACDMA4,RV-561,1193
a0VRg000002JADpMAO,RV-562,157165.4
a0VRg000002JAFRMA4,RV-563,600000
a0VRg000002JAIfMAO,RV-564,37000
a0VRg000002JBGMMA4,RV-574,54000
a0VRg000002JBGNMA4,RV-580,27897.96
a0VRg000002JCYzMAO,RV-565,64856.62
a0VRg000002JCabMAG,RV-566,769103.2
a0VRg000002JCcDMAW,RV-567,108479.85
a0VRg000002JCdpMAG,RV-568,55000
a0VRg000002JCfRMAW,RV-569,418216.96
a0VRg000002JCh3MAG,RV-570,27653
a0VRg000002JCifMAG,RV-571,27650.98
a0VRg000002JCkHMAW,RV-572,54968
a0VRg000002JCnVMAW,RV-573,66000
a0VRg000002JCp7MAG,RV-575,82757
a0VRg000002JDbVMAW,RV-576,58813.3
a0VRg000002JDejMAG,RV-577,139131.81
a0VRg000002JDhxMAG,RV-578,166894.61
a0VRg000002JDlBMAW,RV-579,27715.31
a0VRg000002JDq1MAG,RV-581,27897.96
a0VRg000002JDrdMAG,RV-582,27897.96
a0VRg000002JDurMAG,RV-583,27897.96
a0VRg000002JDy5MAG,RV-584,27897.96
a0VRg000002JDzhMAG,RV-585,27897.96
a0VRg000002JE4XMAW,RV-586,27897.96
a0VRg000002JE69MAG,RV-587,27897.96
a0VRg000002JE9NMAW,RV-588,27897.96
a0VRg000002JECbMAO,RV-589,27844
a0VRg000002JEJ3MAO,RV-590,21617
a0VRg000002JYzJMAW,RV-591,100899
a0VRg000002JZ0vMAG,RV-592,34340.7
a0VRg000002JZ2XMAW,RV-593,300000
a0VRg000002JZ49MAG,RV-594,90086.82
a0VRg000002JZ5lMAG,RV-595,37000
a0VRg000002JZIfMAO,RV-596,35880.05
a0VRg000002JZXBMA4,RV-597,555443.01
a0VRg000002JaWTMA0,RV-598,149012.31
a0VRg000002JaY5MAK,RV-599,53787.69
a0VRg000002JaZhMAK,RV-600,9750
a0VRg000002JabJMAS,RV-601,55000
a0VRg000002JacvMAC,RV-602,183420
