Id,Invoice_Number__c,Paid_Amount__c,Status__c
a0xRg00000AWXhRIAX,INV-TRD-51,29275.14,Fully Paid
a0xRg00000AWXj3IAH,INV-TRD-52,28643.27,Partially Paid
a0xRg00000AWXkfIAH,INV-TRD-53,29235.07,Partially Paid
a0xRg00000AWXmHIAX,INV-TRD-54,29271.55,Fully Paid
a0xRg00000AWXntIAH,INV-TRD-55,29253.31,Partially Paid
a0xRg00000AWXpVIAX,INV-TRD-56,234878.73,Fully Paid
a0xRg00000AWXpWIAX,INV-TRD-80,1945023,Fully Paid
a0xRg00000AWXr8IAH,INV-TRD-73,64856.62,Fully Paid
a0xRg00000AWXsjIAH,INV-TRD-57,49655.85,Fully Paid
a0xRg00000AWXskIAH,INV-TRD-62,49655.85,Fully Paid
a0xRg00000AWXuLIAX,INV-TRD-58,49655.85,Fully Paid
a0xRg00000AWXvyIAH,INV-TRD-89,21396.08,Partially Paid
a0xRg00000AWXxZIAX,INV-TRD-59,49655.85,Fully Paid
a0xRg00000AWXzBIAX,INV-TRD-60,49655.85,Fully Paid
a0xRg00000AWY0nIAH,INV-TRD-61,49655.85,Fully Paid
a0xRg00000AWY5dIAH,INV-TRD-63,49655.85,Fully Paid
a0xRg00000AWY7FIAX,INV-TRD-64,49655.85,Fully Paid
a0xRg00000AWY8rIAH,INV-TRD-65,49655.85,Fully Paid
a0xRg00000AWYATIA5,INV-TRD-66,49655.85,Fully Paid
a0xRg00000AWYC5IAP,INV-TRD-67,132863.24,Fully Paid
a0xRg00000AWYDhIAP,INV-TRD-68,648565.76,Partially Paid
a0xRg00000AWYFJIA5,INV-TRD-69,324283.1,Fully Paid
a0xRg00000AWYGvIAP,INV-TRD-70,64856.62,Fully Paid
a0xRg00000AWYGwIAP,INV-TRD-87,27650.98,Fully Paid
a0xRg00000AWYIXIA5,INV-TRD-71,64856.62,Fully Paid
a0xRg00000AWYIYIA5,INV-TRD-86,27650.98,Fully Paid
a0xRg00000AWYK9IAP,INV-TRD-72,64856.62,Fully Paid
a0xRg00000AWYLlIAP,INV-TRD-74,64856.62,Fully Paid
a0xRg00000AWYNNIA5,INV-TRD-75,64856.62,Fully Paid
a0xRg00000AWYNOIA5,INV-TRD-82,414764.7,Fully Paid
a0xRg00000AWYOzIAP,INV-TRD-76,64248.36,Fully Paid
a0xRg00000AWYP1IAP,INV-TRD-95,,Pending
a0xRg00000AWYQbIAP,INV-TRD-77,458237.7,Fully Paid
a0xRg00000AWYTpIAP,INV-TRD-78,30549.18,Fully Paid
a0xRg00000AWYVRIA5,INV-TRD-79,122266.82,Fully Paid
a0xRg00000AWYVSIA5,INV-TRD-88,27650.98,Fully Paid
a0xRg00000AWYX3IAP,INV-TRD-81,58452.26,Fully Paid
a0xRg00000AWYYfIAP,INV-TRD-83,27653,Fully Paid
a0xRg00000AWYaHIAX,INV-TRD-85,27650.98,Fully Paid
a0xRg00000AWYbtIAH,INV-TRD-90,27650.98,Fully Paid
a0xRg00000AWYnBIAX,INV-TRD-91,194306,Fully Paid
a0xRg00000AWYonIAH,INV-TRD-92,159590.88,Pending
a0xRg00000AWYqPIAX,INV-TRD-93,,Pending
a0xRg00000AWYs1IAH,INV-TRD-94,,Pending
a0xRg00000AWYtdIAH,INV-TRD-96,,Pending
a0xRg00000AWYvFIAX,INV-TRD-97,,Pending
a0xRg00000AWZ6ZIAX,INV-TRD-125,145297,Fully Paid
a0xRg00000AWZGDIA5,INV-TRD-98,,Pending
a0xRg00000AWZT8IAP,INV-TRD-138,29060,Fully Paid
a0xRg00000AWZXxIAP,INV-TRD-99,,Pending
a0xRg00000AWZg1IAH,INV-TRD-100,,Pending
a0xRg00000AWZjCIAX,INV-TRD-106,25931,Fully Paid
a0xRg00000AWZsvIAH,INV-TRD-101,,Pending
a0xRg00000AWZswIAH,INV-TRD-116,44727.9,Fully Paid
a0xRg00000AWZszIAH,INV-TRD-137,29060,Fully Paid
a0xRg00000AWa0zIAD,INV-TRD-102,,Pending
a0xRg00000AWa2bIAD,INV-TRD-103,,Pending
a0xRg00000AWa4DIAT,INV-TRD-104,,Pending
a0xRg00000AWa4EIAT,INV-TRD-115,44727.9,Fully Paid
a0xRg00000AWa5pIAD,INV-TRD-105,443918.9,Partially Paid
a0xRg00000AWaAfIAL,INV-TRD-107,25930.52,Fully Paid
a0xRg00000AWaCHIA1,INV-TRD-108,25931.48,Fully Paid
a0xRg00000AWaDtIAL,INV-TRD-109,25930.52,Fully Paid
a0xRg00000AWaFVIA1,INV-TRD-110,25931.48,Fully Paid
a0xRg00000AWaH7IAL,INV-TRD-111,25901,Partially Paid
a0xRg00000AWaIjIAL,INV-TRD-112,25921,Partially Paid
a0xRg00000AWaKLIA1,INV-TRD-113,25901,Partially Paid
a0xRg00000AWaLxIAL,INV-TRD-114,763524.3,Fully Paid
a0xRg00000AWaNZIA1,INV-TRD-117,44727.9,Fully Paid
a0xRg00000AWaPBIA1,INV-TRD-119,44728.2,Fully Paid
a0xRg00000AWaQnIAL,INV-TRD-120,44727.9,Fully Paid
a0xRg00000AWaSPIA1,INV-TRD-121,44728.1,Fully Paid
a0xRg00000AWaU1IAL,INV-TRD-122,44728,Fully Paid
a0xRg00000AWakOIAT,INV-TRD-135,29060,Fully Paid
a0xRg00000AWaozIAD,INV-TRD-123,2155045.12,Fully Paid
a0xRg00000AWb57IAD,INV-TRD-124,61268.8,Fully Paid
a0xRg00000AWb8LIAT,INV-TRD-126,145297,Fully Paid
a0xRg00000AWb8MIAT,INV-TRD-131,29059.2,Partially Paid
a0xRg00000AWbDBIA1,INV-TRD-127,28999.4,Partially Paid
a0xRg00000AWbDCIA1,INV-TRD-152,220799.74,Fully Paid
a0xRg00000AWbI1IAL,INV-TRD-128,29059.4,Fully Paid
a0xRg00000AWbLFIA1,INV-TRD-129,29028.6,Partially Paid
a0xRg00000AWbQ5IAL,INV-TRD-130,29059.4,Fully Paid
a0xRg00000AWbUvIAL,INV-TRD-132,29060,Fully Paid
a0xRg00000AWbY9IAL,INV-TRD-133,29060,Fully Paid
a0xRg00000AWbZlIAL,INV-TRD-134,29060,Fully Paid
a0xRg00000AWbbNIAT,INV-TRD-136,29060,Fully Paid
a0xRg00000AWbczIAD,INV-TRD-139,29060,Fully Paid
a0xRg00000AWbl4IAD,INV-TRD-188,205957.36,Fully Paid
a0xRg00000AWbrWIAT,INV-TRD-155,31093,Fully Paid
a0xRg00000AWbrXIAT,INV-TRD-172,28325.26,Fully Paid
a0xRg00000AWbujIAD,INV-TRD-140,68898.92,Fully Paid
a0xRg00000AWbwLIAT,INV-TRD-141,164372,Partially Paid
a0xRg00000AWbxxIAD,INV-TRD-142,295870,Partially Paid
a0xRg00000AWc1BIAT,INV-TRD-143,32874,Partially Paid
a0xRg00000AWc2nIAD,INV-TRD-144,32874.46,Fully Paid
a0xRg00000AWc4PIAT,INV-TRD-145,32874.46,Fully Paid
a0xRg00000AWc61IAD,INV-TRD-146,32874.46,Fully Paid
a0xRg00000AWc62IAD,INV-TRD-169,141626.3,Fully Paid
a0xRg00000AWc7dIAD,INV-TRD-147,32874.46,Fully Paid
a0xRg00000AWc9FIAT,INV-TRD-148,32874.46,Fully Paid
a0xRg00000AWcArIAL,INV-TRD-149,32871.7,Partially Paid
a0xRg00000AWcCTIA1,INV-TRD-150,32874,Partially Paid
a0xRg00000AWcE5IAL,INV-TRD-151,32874,Partially Paid
a0xRg00000AWcFhIAL,INV-TRD-153,186556.92,Fully Paid
a0xRg00000AWcHJIA1,INV-TRD-154,31093,Fully Paid
a0xRg00000AWcIvIAL,INV-TRD-156,31093,Fully Paid
a0xRg00000AWcKXIA1,INV-TRD-157,31093,Fully Paid
a0xRg00000AWcM9IAL,INV-TRD-158,31093,Fully Paid
a0xRg00000AWcNlIAL,INV-TRD-159,31093,Fully Paid
a0xRg00000AWcPNIA1,INV-TRD-160,31093,Fully Paid
a0xRg00000AWcQzIAL,INV-TRD-161,31093,Fully Paid
a0xRg00000AWcSbIAL,INV-TRD-162,31093,Fully Paid
a0xRg00000AWcVpIAL,INV-TRD-163,31093,Fully Paid
a0xRg00000AWcXRIA1,INV-TRD-164,31093,Fully Paid
a0xRg00000AWcZ3IAL,INV-TRD-165,31093,Fully Paid
a0xRg00000AWcafIAD,INV-TRD-166,59800.53,Fully Paid
a0xRg00000AWccHIAT,INV-TRD-167,141626.3,Fully Paid
a0xRg00000AWcdtIAD,INV-TRD-168,141626.3,Fully Paid
a0xRg00000AWcfVIAT,INV-TRD-170,28325.26,Fully Paid
a0xRg00000AWch7IAD,INV-TRD-171,28325.26,Fully Paid
a0xRg00000AWcijIAD,INV-TRD-173,28325.26,Fully Paid
a0xRg00000AWckLIAT,INV-TRD-174,28325.26,Fully Paid
a0xRg00000AWclxIAD,INV-TRD-175,28325.26,Fully Paid
a0xRg00000AWcnZIAT,INV-TRD-176,28325.26,Fully Paid
a0xRg00000AWcqnIAD,INV-TRD-177,58451.96,Fully Paid
a0xRg00000AWcu1IAD,INV-TRD-178,138254.9,Fully Paid
a0xRg00000AWcvdIAD,INV-TRD-179,138254.9,Fully Paid
a0xRg00000AWcxFIAT,INV-TRD-180,124429.41,Fully Paid
a0xRg00000AWcyrIAD,INV-TRD-181,41476.47,Fully Paid
a0xRg00000AWd0TIAT,INV-TRD-182,41472.16,Partially Paid
a0xRg00000AWd25IAD,INV-TRD-183,41477,Fully Paid
a0xRg00000AWd3hIAD,INV-TRD-184,27651,Fully Paid
a0xRg00000AWd5JIAT,INV-TRD-185,27651,Fully Paid
a0xRg00000AWd6vIAD,INV-TRD-186,27651,Fully Paid
a0xRg00000AWd8XIAT,INV-TRD-187,27650.98,Fully Paid
a0xRg00000AWdA9IAL,INV-TRD-189,144862.4,Fully Paid
a0xRg00000AWdBlIAL,INV-TRD-190,28972.48,Fully Paid
a0xRg00000AWdDNIA1,INV-TRD-191,28972,Partially Paid
a0xRg00000AWdEzIAL,INV-TRD-192,28972,Partially Paid
a0xRg00000AWdGbIAL,INV-TRD-193,28972,Partially Paid
a0xRg00000AWdIDIA1,INV-TRD-194,28972,Partially Paid
a0xRg00000AWdJpIAL,INV-TRD-195,28972,Partially Paid
a0xRg00000AWdLRIA1,INV-TRD-196,28972,Partially Paid
a0xRg00000AWdN3IAL,INV-TRD-197,28972,Partially Paid
a0xRg00000AWdOfIAL,INV-TRD-198,28972,Partially Paid
a0xRg00000AWdQHIA1,INV-TRD-199,28972,Partially Paid
a0xRg00000AWdRtIAL,INV-TRD-200,28972,Partially Paid
a0xRg00000AWdTVIA1,INV-TRD-201,28972,Partially Paid
a0xRg00000AWdV7IAL,INV-TRD-202,28972,Partially Paid
a0xRg00000AX4dNIAT,INV-TRD2-69,202848.2,Fully Paid
a0xRg00000AX5xdIAD,INV-TRD2-70,22955.04,Partially Paid
a0xRg00000AX60rIAD,INV-TRD2-71,99175.2,Fully Paid
a0xRg00000AX6aLIAT,INV-TRD2-72,84992.8,Fully Paid
a0xRg00000AX6dZIAT,INV-TRD2-73,20148.56,Fully Paid
a0xRg00000AX6thIAD,INV-TRD2-74,95979,Fully Paid
a0xRg00000AX6vJIAT,INV-TRD2-75,22315.82,Partially Paid
a0xRg00000AX7UnIAL,INV-TRD-203,1610178,Fully Paid
a0xRg00000AX7WPIA1,INV-TRD2-76,955845,Fully Paid
a0xRg00000AX7kvIAD,INV-TRD-204,64408,Fully Paid
a0xRg00000AX7plIAD,INV-TRD2-77,174818.88,Fully Paid
a0xRg00000AX7rNIAT,INV-TRD2-78,38113.32,Fully Paid
a0xRg00000AXB3mIAH,INV-BTL-12,13633350,Partially Paid
a0xRg00000AXBq9IAH,INV-BTL-11,8531000,Fully Paid
a0xRg00000AXCSrIAP,INV-BTL-13,6546030,Fully Paid
a0xRg00000AXChNIAX,INV-BTL-14,5980000,Fully Paid
a0xRg00000AXCuHIAX,INV-BTL-15,4717000,Fully Paid
a0xRg00000AXDbpIAH,INV-TRD2-79,116579.68,Fully Paid
a0xRg00000AXDdRIAX,INV-TRD2-80,81025.82,Fully Paid
a0xRg00000AXE9hIAH,INV-TRD2-81,116579.68,Fully Paid
a0xRg00000AZCq9IAH,INV-TRD-205,337334.1,Fully Paid
a0xRg00000AZCrlIAH,INV-TRD-206,138000.4,Fully Paid
a0xRg00000AZCtNIAX,INV-TRD-207,337126,Fully Paid
a0xRg00000AZCuzIAH,INV-TRD-208,101137.8,Fully Paid
a0xRg00000AZEDdIAP,INV-TRD2-82,106112,Fully Paid
a0xRg00000AZG2yIAH,INV-TRD-222,29987,Fully Paid
a0xRg00000AZHI6IAP,INV-TRD-213,29987,Fully Paid
a0xRg00000AZKO4IAP,INV-TRD-219,29987,Fully Paid
a0xRg00000AZLLhIAP,INV-TRD-220,29987,Fully Paid
a0xRg00000AZLooIAH,INV-TRD-209,63123.04,Fully Paid
a0xRg00000AZM6bIAH,INV-TRD-221,29987,Fully Paid
a0xRg00000AZNiSIAX,INV-TRD-212,29987,Fully Paid
a0xRg00000AZOEjIAP,INV-TRD-218,29987,Fully Paid
a0xRg00000AZOTGIA5,INV-TRD-211,179919,Partially Paid
a0xRg00000AZOucIAH,INV-TRD-215,29987,Fully Paid
a0xRg00000AZOueIAH,INV-TRD-216,29987,Fully Paid
a0xRg00000AZRNyIAP,INV-TRD-223,29987,Fully Paid
a0xRg00000AZRikIAH,INV-TRD-210,149902.58,Partially Paid
a0xRg00000AZRxHIAX,INV-TRD-217,29987,Fully Paid
a0xRg00000AZRysIAH,INV-TRD-214,29987,Fully Paid
a0xRg00000AZT30IAH,INV-TRD-224,29987,Fully Paid
a0xRg00000AbiacIAB,INV-TRD-227,29403,Fully Paid
a0xRg00000Abjd7IAB,INV-TRD-225,441041.43,Fully Paid
a0xRg00000AbjejIAB,INV-TRD-226,61955.52,Fully Paid
a0xRg00000AbjgLIAR,INV-TRD-228,29403,Fully Paid
a0xRg00000AbjhxIAB,INV-TRD-229,29403,Fully Paid
a0xRg00000AbjjZIAR,INV-TRD-230,29404,Fully Paid
a0xRg00000AbjlBIAR,INV-TRD-231,29403,Fully Paid
a0xRg00000AbjmnIAB,INV-TRD-232,29403,Fully Paid
a0xRg00000AbjoPIAR,INV-TRD-233,29403,Fully Paid
a0xRg00000Abjq1IAB,INV-TRD-234,29403,Fully Paid
a0xRg00000AbjrdIAB,INV-TRD-235,29468,Fully Paid
a0xRg00000AbjwTIAR,INV-TRD2-83,89298.8,Partially Paid
a0xRg00000Abjy5IAB,INV-TRD2-84,38851.52,Partially Paid
a0xRg00000AbkJ4IAJ,INV-TRD2-85,146860.42,Fully Paid
a0xRg00000AbpXFIAZ,INV-TRD2-86,749560.5,Fully Paid
a0xRg00000Ae2TiIAJ,INV-TRD2-90,,Cancelled
a0xRg00000Ae3O2IAJ,INV-TRD2-95,45417.72,Fully Paid
a0xRg00000Ae3PdIAJ,INV-TRD2-87,81025.82,Fully Paid
a0xRg00000Ae3XhIAJ,INV-TRD2-91,,Cancelled
a0xRg00000Ae4jtIAB,INV-TRD2-94,105669.3,Fully Paid
a0xRg00000Ae64RIAR,INV-TRD-247,44285.04,Fully Paid
a0xRg00000Ae7TXIAZ,INV-TRD-243,44285,Partially Paid
a0xRg00000Ae7cvIAB,INV-TRD2-98,95979,Fully Paid
a0xRg00000Ae7d3IAB,INV-TRD2-99,210969.4,Fully Paid
a0xRg00000Ae8UOIAZ,INV-TRD-240,44500,Fully Paid
a0xRg00000Ae9FAIAZ,INV-TRD-238,221425.2,Fully Paid
a0xRg00000Ae9gUIAR,INV-TRD-242,44285,Partially Paid
a0xRg00000AeAEQIA3,INV-TRD-251,44285,Partially Paid
a0xRg00000AeBX4IAN,INV-TRD-248,44285,Partially Paid
a0xRg00000AeBiLIAV,INV-TRD-244,44285,Partially Paid
a0xRg00000AeDc2IAF,INV-TRD-245,44285,Partially Paid
a0xRg00000AeE6iIAF,INV-TRD-249,44285,Partially Paid
a0xRg00000AeEEjIAN,INV-TRD-239,43836,Partially Paid
a0xRg00000AeFM0IAN,INV-TRD-241,36570,Partially Paid
a0xRg00000AeFfPIAV,INV-TRD-250,44285,Partially Paid
a0xRg00000AeGgGIAV,INV-TRD-237,88570.08,Fully Paid
a0xRg00000AeHHJIA3,INV-TRD-236,225717.17,Fully Paid
a0xRg00000AeHu1IAF,INV-TRD-246,44285,Partially Paid
a0xRg00000AgMUbIAN,INV-TRD2-100,205982.08,Fully Paid
a0xRg00000AgNthIAF,INV-TRD-252,29987,Fully Paid
a0xRg00000AgPkDIAV,INV-TRD2-101,287121.8,Partially Paid
a0xRg00000AgTxWIAV,INV-TRD-253,64856.62,Fully Paid
a0xRg00000AgWdeIAF,INV-TRD-257,51550.38,Fully Paid
a0xRg00000AgZ0QIAV,INV-TRD-261,51550.38,Fully Paid
a0xRg00000AgZDKIA3,INV-TRD-255,171834.6,Fully Paid
a0xRg00000AgZI9IAN,INV-TRD-254,243718.44,Fully Paid
a0xRg00000AgZWgIAN,INV-TRD-259,51550.38,Fully Paid
a0xRg00000AgZgLIAV,INV-TRD-256,51550.38,Fully Paid
a0xRg00000Aga69IAB,INV-TRD-258,51550.38,Fully Paid
a0xRg00000AgaNtIAJ,INV-TRD-260,51550.38,Fully Paid
a0xRg00000AgahFIAR,INV-TRD-262,34366.92,Fully Paid
a0xRg00000AhwRBIAZ,INV-TRD2-102,79432.5,Fully Paid
a0xRg00000AhwivIAB,INV-TRD2-103,105669.3,Fully Paid
a0xRg00000Ahx2HIAR,INV-TRD2-105,176945.2,Fully Paid
a0xRg00000Ahx3tIAB,INV-TRD2-106,38440.08,Fully Paid
a0xRg00000AiJXSIA3,INV-TRD-266,237657.92,Fully Paid
a0xRg00000AiKLSIA3,INV-TRD-275,47523.62,Fully Paid
a0xRg00000AiLB3IAN,INV-TRD-263,31093,Fully Paid
a0xRg00000AiLEHIA3,INV-TRD-264,335815.34,Fully Paid
a0xRg00000AiLFtIAN,INV-TRD-265,237618.1,Fully Paid
a0xRg00000AiLHVIA3,INV-TRD-267,47523.62,Fully Paid
a0xRg00000AiLJ7IAN,INV-TRD-268,47523.62,Fully Paid
a0xRg00000AiLKjIAN,INV-TRD-269,47523.62,Fully Paid
a0xRg00000AiLMLIA3,INV-TRD-270,47523.62,Fully Paid
a0xRg00000AiLNxIAN,INV-TRD-271,47523.62,Fully Paid
