Id,Cumulative_Paid_Amount__c
a0YRg00000P4iAaMAJ,29403
a0YRg00000P4n70MAB,37000
a0YRg00000P4nWoMAJ,441041.43
a0YRg00000P4nWpMAJ,61955.52
a0YRg00000P4oavMAB,29403
a0YRg00000P4sOSMAZ,38851.52
a0YRg00000P4uYHMAZ,36921.25
a0YRg00000P4vHTMAZ,37127.33
a0YRg00000P4zOKMAZ,29403
a0YRg00000P5094MAB,29403
a0YRg00000P50KMMAZ,275000
a0YRg00000P50XFMAZ,29404
a0YRg00000P50XGMAZ,29403
a0YRg00000P5AoLMAV,37000
a0YRg00000P7jA9MAJ,37000
a0YRg00000P7jEyMAJ,116579.68
a0YRg00000P7jEzMAJ,81025.82
a0YRg00000P7lLcMAJ,79409.24
a0YRg00000P7lNCMAZ,89298.8
a0YRg00000P7oZbMAJ,43836
a0YRg00000P7ojFMAR,37000
a0YRg00000P7oo5MAB,37000
a0YRg00000P7pU4MAJ,37000
a0YRg00000P7r7dMAB,116579.68
a0YRg00000P7r7eMAB,81025.82
a0YRg00000P7r7gMAB,36925
a0YRg00000P7sq7MAB,128287.12
a0YRg00000P7vUiMAJ,88570.08
a0YRg00000P7vUjMAJ,187231.42
a0YRg00000P7wCJMAZ,37000
a0YRg00000P7xEjMAJ,210969.4
a0YRg00000P7yU8MAJ,85797
a0YRg00000P7ydqMAB,90485.9
a0YRg00000P7ydrMAB,90485.9
a0YRg00000P7zgLMAR,109175.2
a0YRg00000P81v2MAB,37077.95
a0YRg00000P83K8MAJ,80206.8
a0YRg00000P849hMAB,5107.2
a0YRg00000P84eOMAR,221425.2
a0YRg00000P84ePMAR,225717.17
a0YRg00000P88MzMAJ,44500
a0YRg00000P88urMAB,36570
a0YRg00000P8AS2MAN,44285
a0YRg00000P8AS3MAN,44285
a0YRg00000P8BeDMAV,44285.04
a0YRg00000P8BeEMAV,44285
a0YRg00000P8BeFMAV,44285
a0YRg00000P8BeGMAV,44285
a0YRg00000P8BkfMAF,44285
a0YRg00000PAcC8MAL,29987
a0YRg00000PAisfMAD,29987
a0YRg00000PAjaDMAT,29987
a0YRg00000PAjaEMAT,29987
a0YRg00000PAkZUMA1,29987
a0YRg00000PAlwyMAD,29987
a0YRg00000PAmg5MAD,29802.46
a0YRg00000PAn4JMAT,29987
a0YRg00000PAoOXMA1,29987
a0YRg00000PAoefMAD,29987
a0YRg00000PAopxMAD,29987
a0YRg00000PApIzMAL,29987
a0YRg00000PAtwBMAT,202848.2
a0YRg00000PAtwCMAT,287121.8
a0YRg00000PAxbWMAT,64408
a0YRg00000PAzOnMAL,484499
a0YRg00000PB4DHMA1,132863.24
a0YRg00000PB4DIMA1,648565.76
a0YRg00000PB4YFMA1,64856.62
a0YRg00000PB4d5MAD,64856.62
a0YRg00000PB5Z8MAL,64856.62
a0YRg00000PB6BrMAL,324283.1
a0YRg00000PB7kcMAD,64856.62
a0YRg00000PB7r2MAD,64856.62
a0YRg00000PBCXUMA5,64856.62
a0YRg00000PBDMxMAP,147144.52
a0YRg00000PBESiMAP,30000
a0YRg00000PBHNPMA5,481429
a0YRg00000PBHiOMAX,64856.62
a0YRg00000PBNHRMA5,34366.92
a0YRg00000PCZbaMAH,45417.72
a0YRg00000PCdC7MAL,119305.04
a0YRg00000PD3BOMA1,105669.3
a0YRg00000PD3BPMA1,105669.3
a0YRg00000PD93uMAD,37000
a0YRg00000PD9zyMAD,21665.64
a0YRg00000PD9zzMAD,68528.69
a0YRg00000PDBs5MAH,117307.66
a0YRg00000PDBtiMAH,44285
a0YRg00000PDCzRMAX,
a0YRg00000PDF9JMAX,72609.99
a0YRg00000PDFPRMA5,21061.4
a0YRg00000PDFPSMA5,89557
a0YRg00000PDFR3MAP,20845.6
a0YRg00000PDFR4MAP,88478
a0YRg00000PEAPLMA5,37280
a0YRg00000PEB8VMAX,142466
a0YRg00000PEBEwMAP,47523.62
a0YRg00000PEBExMAP,47523.62
a0YRg00000PEBEyMAP,3432.04
a0YRg00000PEC7lMAH,335815.34
a0YRg00000PEC7mMAH,60215.66
a0YRg00000PEC9NMAX,237657.92
a0YRg00000PECJ3MAP,54935
a0YRg00000PECKfMAP,94860
a0YRg00000PECVxMAP,190136
a0YRg00000PECcPMAX,237618.1
a0YRg00000PECcQMAX,332.9
a0YRg00000PECirMAH,47523.62
a0YRg00000PECisMAH,47449.28
a0YRg00000PED2DMAX,47523.62
a0YRg00000PED2EMAX,8703.42
a0YRg00000PEEpWMAX,47523.62
a0YRg00000PEEpXMAX,6754.8
a0YRg00000PEHp0MAH,93676.04
a0YRg00000PEHp1MAH,678942
a0YRg00000PEI6kMAH,45263.02
a0YRg00000PEI6lMAH,3894.6
a0YRg00000PEJVpMAP,36500
a0YRg00000PEJXRMA5,441304
a0YRg00000PEJafMAH,678945.3
a0YRg00000PEJagMAH,45263.02
a0YRg00000PEJahMAH,45263.02
a0YRg00000PEJaiMAH,793.66
a0YRg00000PEJh7MAH,45263.02
a0YRg00000PEJh8MAH,45263.02
a0YRg00000PEJh9MAH,3645.62
a0YRg00000PEK8XMAX,45263.02
a0YRg00000PEK8YMAX,4206.58
a0YRg00000PEvPrMAL,325000
a0YRg00000PEvzNMAT,47523.62
a0YRg00000PEvzOMAT,30688.56
a0YRg00000PEzGZMA1,47523.62
a0YRg00000PEzGaMAL,5252.18
a0YRg00000PF3LmMAL,88695.8
a0YRg00000PF3LnMAL,20829.1
a0YRg00000PF489MAD,45263.02
a0YRg00000PF48AMAT,4964.56
a0YRg00000PF4RVMA1,45263.02
a0YRg00000PF4RWMA1,32661.54
a0YRg00000PF4o9MAD,29403
a0YRg00000PF6WXMA1,87627.2
a0YRg00000PF6WYMA1,20675.44
a0YRg00000PF7SeMAL,74000
a0YRg00000PF8V8MAL,125883.5
a0YRg00000PFCs5MAH,29403
a0YRg00000PFK4tMAH,30010.46
a0YRg00000PFK4uMAH,30010.46
a0YRg00000PFK4vMAH,14090.08
a0YRg00000PFLXBMA5,155624.84
a0YRg00000PFLXCMA5,108910.6
a0YRg00000PFLXDMA5,9931.1
a0YRg00000PFM8JMAX,17000
a0YRg00000PFMHxMAP,132350
a0YRg00000PFRkmMAH,363552.08
a0YRg00000PFUU9MAP,189205.52
a0YRg00000PFUUAMA5,265793.72
a0YRg00000PFbvKMAT,37277
a0YRg00000PFcTJMA1,345552.08
a0YRg00000PFeBhMAL,37000
a0YRg00000PFfMDMA1,213223.22
a0YRg00000PFfMEMA1,184676.98
a0YRg00000PI0koMAD,31460.22
a0YRg00000PI0kpMAD,31460.22
a0YRg00000PI0kqMAD,3170.72
a0YRg00000PI1P6MAL,168187.1
a0YRg00000PI1P7MAL,33637.42
a0YRg00000PI8aEMAT,238611.94
a0YRg00000PI8aFMAT,168189.06
a0YRg00000PI8dSMAT,174739.2
a0YRg00000PIAH3MAP,20000
a0YRg00000PIAPDMA5,37000
a0YRg00000PIAXDMA5,33637.42
a0YRg00000PIAXEMA5,1462.9
a0YRg00000PIAlhMAH,33637.42
a0YRg00000PIAliMAH,1362.58
a0YRg00000PIAybMAH,33637.42
a0YRg00000PIAycMAH,33637.42
a0YRg00000PIAydMAH,33637.42
a0YRg00000PIAyeMAH,1450.32
a0YRg00000PIBoJMAX,113140.4
a0YRg00000PIC2rMAH,29146.32
a0YRg00000PIC2sMAH,29146.32
a0YRg00000PIC2tMAH,21151.74
a0YRg00000PIDtKMAX,103071
a0YRg00000PIDzkMAH,207175
a0YRg00000PIEFpMAP,6946740.25
a0YRg00000PIF5TMAX,87437.4
a0YRg00000PIGZNMA5,101062.32
a0YRg00000PIH2VMAX,87438.96
a0YRg00000PIH2WMAX,29146.32
a0YRg00000PIH2XMAX,29144.38
a0YRg00000PII05MAH,145731.6
a0YRg00000PII06MAH,29160.4
a0YRg00000PIJDwMAP,87438.96
a0YRg00000PIJDxMAP,29145.66
a0YRg00000PIJXLMA5,31460.22
a0YRg00000PIJXMMA5,31460.22
a0YRg00000PIJXNMA5,31460.22
a0YRg00000PIJXOMA5,8190.06
a0YRg00000PIJaWMAX,157301.1
a0YRg00000PIJaXMAX,62920.36
a0YRg00000PIKzbMAH,437134.96
a0YRg00000PIMBnMAP,157301.1
a0YRg00000PIMBoMAP,157301.1
a0YRg00000PIMBpMAP,11719.16
a0YRg00000PINRFMA5,113233.36
a0YRg00000PIOGnMAP,116585.28
a0YRg00000PIOGoMAP,29143.62
a0YRg00000PIOOrMAP,58290.62
a0YRg00000PIPmPMAX,1000000
a0YRg00000PIRUnMAP,37000
a0YRg00000PIRjJMAX,223371.54
a0YRg00000PIRjKMAX,1.46
a0YRg00000PIRo9MAH,129001.46
a0YRg00000PIS5zMAH,55000
a0YRg00000PISKPMA5,144693.36
a0YRg00000PIVoZMAX,8951000
a0YRg00000PIWkgMAH,100000
a0YRg00000PIZk5MAH,2600000
a0YRg00000PIaGLMA1,10405950
a0YRg00000PIaGMMA1,4334500
a0YRg00000PIaGNMA1,863050
a0YRg00000PIaugMAD,936578.96
a0YRg00000PIcZuMAL,8743000
a0YRg00000PIcZvMAL,131578.96
a0YRg00000PIcgLMAT,151261.01
a0YRg00000PIdHRMA1,1434578.96
a0YRg00000PIdMHMA1,1534578.96
a0YRg00000PIm4jMAD,50000
a0YRg00000PIsMvMAL,10802000
a0YRg00000PIsMwMAL,3150
a0YRg00000PIsRlMAL,4910000
a0YRg00000PLKNDMA5,30456
a0YRg00000PLVATMA5,82953.6
a0YRg00000PLW8AMAX,52921.25
a0YRg00000PM316MAD,79031.04
a0YRg00000PM317MAD,131718.4
a0YRg00000PM318MAD,263436.8
a0YRg00000PM319MAD,4628.76
a0YRg00000PMAIYMA5,37000
a0YRg00000PMIG1MAP,187555.76
a0YRg00000PMIG2MAP,263286.95
a0YRg00000POAcbMAH,124000
a0YRg00000POChdMAH,50000
a0YRg00000POYezMAH,170709
a0YRg00000POawoMAD,37000
a0YRg00000POcfHMAT,31000
a0YRg00000POdTIMA1,85354.56
a0YRg00000POdoHMAT,142257.39
a0YRg00000POeZ2MAL,106112
a0YRg00000POf8dMAD,56903.08
a0YRg00000POgpLMAT,27900
a0YRg00000POhByMAL,124000
a0YRg00000POhYZMA1,124000
a0YRg00000POicdMAD,31000
a0YRg00000POjIbMAL,154999.15
a0YRg00000POlKMMA1,31000
a0YRg00000POlkCMAT,155000
a0YRg00000POlx5MAD,220148.81
a0YRg00000POm6lMAD,62000
a0YRg00000POo3jMAD,31000
a0YRg00000POoAAMA1,93000
a0YRg00000POotKMAT,93000
a0YRg00000POpXdMAL,440683
a0YRg00000POpm9MAD,62000
a0YRg00000POq5VMAT,31000
a0YRg00000POqDaMAL,142257.52
a0YRg00000POr6QMAT,202310.39
a0YRg00000POrG6MAL,199160.36
a0YRg00000POrG7MAL,28451.6
a0YRg00000POrb3MAD,170709
a0YRg00000POsYmMAL,221542.86
a0YRg00000POtucMAD,156000
a0YRg00000POusLMAT,152850.14
a0YRg00000POwVuMAL,155994.9
a0YRg00000POwVvMAL,5.24
a0YRg00000POwkRMAT,30000
a0YRg00000POwxKMAT,300005.24
a0YRg00000PP6QWMA1,
a0YRg00000PP6dRMAT,73500
a0YRg00000PPDGcMAP,139501.1
a0YRg00000PPHGzMAP,60000
a0YRg00000PRb3aMAD,101118
a0YRg00000PRnRLMA1,248007.52
a0YRg00000PRnmHMAT,380042.5
a0YRg00000PRo5aMAD,545632
a0YRg00000PRogkMAD,387956
a0YRg00000PRsPMMA1,334340.7
a0YRg00000PRsnXMAT,50000
a0YRg00000PRtI9MAL,74000
a0YRg00000PRvewMAD,380042.5
a0YRg00000PRwZNMA1,471226.98
a0YRg00000PSEUjMAP,
a0YRg00000PSRofMAH,946510
a0YRg00000PSUkmMAH,8531000
a0YRg00000PSUknMAH,1077043
a0YRg00000PSWY4MAP,37000
a0YRg00000PSZCYMA5,6408043
a0YRg00000PSZviMAH,
a0YRg00000PSZvjMAH,7633764
a0YRg00000PTI00MAH,1271845.48
a0YRg00000PUvtmMAD,203769.72
a0YRg00000PUvtnMAD,143249.79
a0YRg00000PUyMvMAL,955845
a0YRg00000PV029MAD,81820
a0YRg00000PV0OjMAL,79391.42
a0YRg00000PV0gTMAT,55000
a0YRg00000PV0wbMAD,119803.32
a0YRg00000PV0wcMAD,19576.68
a0YRg00000PWtPbMAL,37000
a0YRg00000PWthNMAT,243776.54
a0YRg00000PWv4tMAD,343752.2
a0YRg00000PWwlfMAD,51562.83
a0YRg00000PX0Z8MAL,51562.83
a0YRg00000PX2EMMA1,171876.1
a0YRg00000PX2ENMA1,51562
a0YRg00000PX2kbMAD,171876.1
a0YRg00000PX38nMAD,51562.83
a0YRg00000PX6HyMAL,60000
a0YRg00000PX6HzMAL,60000
a0YRg00000PX6I0MAL,60000
a0YRg00000PX6RjMAL,201530
a0YRg00000PX7PLMA1,171888.25
a0YRg00000PX96CMAT,257778.25
a0YRg00000PXBBCMA5,400000
a0YRg00000PXBBDMA5,60930
a0YRg00000PXCDjMAP,399977
a0YRg00000PXEAjMAP,171959.76
a0YRg00000PXEAkMAP,28288.85
a0YRg00000PXEHCMA5,28630
a0YRg00000PXEQoMAP,257939.64
a0YRg00000PXEQpMAP,171618.61
a0YRg00000PXElnMAH,860442.8
a0YRg00000PXGNlMAP,36743.55
a0YRg00000PXHi5MAH,122792.44
a0YRg00000PXIuLMAX,669489.2
a0YRg00000PXIuMMAX,998.8
a0YRg00000PXJGrMAP,37000
a0YRg00000PXKWEMA5,67941.28
a0YRg00000PXLIeMAP,471792.44
a0YRg00000PXLIfMAP,1000
a0YRg00000PXLybMAH,200846.76
a0YRg00000PXLycMAH,996.04
a0YRg00000PXQNAMA5,66948.92
a0YRg00000PXQNBMA5,993.28
a0YRg00000PXQRzMAP,50000
a0YRg00000PXSn7MAH,66948.92
a0YRg00000PXSn8MAH,66948.92
a0YRg00000PXSn9MAH,994.2
a0YRg00000PXiQUMA1,2000000
a0YRg00000PXp2BMAT,5300000
a0YRg00000PaG6KMAV,85631
a0YRg00000PaIGCMA3,84992.8
a0YRg00000PaIGDMA3,20148.56
a0YRg00000PaKGZMA3,31093
a0YRg00000PaKjSMAV,108294.82
a0YRg00000PaONEMA3,1262000
a0YRg00000PaQLqMAN,31093
a0YRg00000PaTGUMA3,31093
a0YRg00000PaTWcMAN,22955.04
a0YRg00000PaUinMAF,31093
a0YRg00000PaUlzMAF,125989.66
a0YRg00000PaVF0MAN,31093
a0YRg00000PaVLUMA3,31093
a0YRg00000PaW7pMAF,425000
a0YRg00000PaWEIMA3,31093
a0YRg00000PaX7BMAV,220799.74
a0YRg00000PaX7CMAV,186556.92
a0YRg00000PaXWxMAN,37000
a0YRg00000PaYO9MAN,65335.64
a0YRg00000PaYZSMA3,31093
a0YRg00000PaYj8MAF,31093
a0YRg00000PaYmLMAV,183799.74
a0YRg00000PaZ7LMAV,31093
a0YRg00000PaZKDMA3,31093
a0YRg00000PaaUnMAJ,31093
a0YRg00000PaajJMAR,31093
a0YRg00000PaeTdMAJ,26187
a0YRg00000PajEwMAJ,78561.65
a0YRg00000Pan2GMAR,130935.65
a0YRg00000PanjoMAB,26187
a0YRg00000PaoBDMAZ,78561
a0YRg00000PaoXnMAJ,186305.92
a0YRg00000PapAVMAZ,26187
a0YRg00000PapH0MAJ,130935
a0YRg00000ParIjMAJ,37000
a0YRg00000ParIrMAJ,52374
a0YRg00000PasjUMAR,104748
a0YRg00000PaszbMAB,186455.92
a0YRg00000PaszcMAB,130932.8
a0YRg00000PaszdMAB,26032.65
a0YRg00000PavxUMAR,26187
a0YRg00000PawVKMAZ,52374
a0YRg00000PawblMAB,104748.65
a0YRg00000Pe3LlMAJ,85797
a0YRg00000PeCc1MAF,138171.25
a0YRg00000PeCtqMAF,164337.96
a0YRg00000PeCtrMAF,54783.29
a0YRg00000PeDrUMAV,3075451
a0YRg00000PeFq0MAF,472577
a0YRg00000PeGqwMAF,405066
a0YRg00000PeGxKMAV,337553
a0YRg00000PeH3uMAF,37000
a0YRg00000PeHWsMAN,580088
a0YRg00000PeHyHMAV,27389.66
a0YRg00000PeHyIMAV,27389.66
a0YRg00000PeHyJMAV,54780.68
a0YRg00000PeIPlMAN,3324650
a0YRg00000PeIWCMA3,194877.62
a0YRg00000PeIWDMA3,136948.19
a0YRg00000PeJ3xMAF,37000
a0YRg00000PeJ3zMAF,475724.38
a0YRg00000PeJTnMAN,540088
a0YRg00000PeJdcMAF,2194500
a0YRg00000PeKhhMAF,2372500
a0YRg00000PeKpfMAF,246506.94
a0YRg00000PeKpgMAF,109561.25
a0YRg00000PeKueMAF,2194500
a0YRg00000PeLFSMA3,191728.19
a0YRg00000PeM3YMAV,4400000
a0YRg00000PeM9vMAF,200000
a0YRg00000PeMhnMAF,2372500
a0YRg00000PeNPOMA3,2194500
a0YRg00000PeOyAMAV,11414550
a0YRg00000PePSsMAN,45263.02
a0YRg00000PePStMAN,45263.02
a0YRg00000PePSuMAN,45263.02
a0YRg00000PePSvMAN,6672.48
a0YRg00000PeSVdMAN,398690.4
a0YRg00000PeSVeMAN,6861.68
a0YRg00000PeSvFMAV,5690159
a0YRg00000PeXF6MAN,37000
a0YRg00000PeYO2MAN,47523.62
a0YRg00000PeYO3MAN,47523.62
a0YRg00000PeYO4MAN,45441.32
a0YRg00000PeaktMAB,2091500
a0YRg00000PeddtMAB,103658.1
a0YRg00000PedduMAB,148131.9
a0YRg00000PhOf1MAF,27843.96
a0YRg00000PhOf2MAF,111375.84
a0YRg00000PhOf3MAF,7633.2
a0YRg00000PhTWcMAN,88750
a0YRg00000PhVRzMAN,5500000
a0YRg00000PhdfmMAB,6075000
a0YRg00000Pkh0RMAR,176945.2
a0YRg00000Pkja3MAB,600000
a0YRg00000PkkntMAB,146860.42
a0YRg00000PkknuMAB,205982.08
a0YRg00000Pkl40MAB,210050.8
a0YRg00000Pkn7NMAR,133736.28
a0YRg00000PknQjMAJ,31000
a0YRg00000PksjnMAB,116556.18
a0YRg00000PksqGMAR,175736.09
a0YRg00000PkthTMAR,38440.08
a0YRg00000PkvPxMAJ,16725.25
a0YRg00000Pkw94MAB,81460
a0YRg00000PkwgzMAB,29246.93
a0YRg00000PkxOUMAZ,166280
a0YRg00000PkzesMAB,28643.27
a0YRg00000Pl031MAB,29275.14
a0YRg00000Pl0REMAZ,29275.14
a0YRg00000Pl2EWMAZ,29271.55
a0YRg00000Pl2fuMAB,29275.14
a0YRg00000Pl2sqMAB,15000
a0YRg00000Pl2xeMAB,207985.4
a0YRg00000Pl4JVMAZ,39500
a0YRg00000Pl4o9MAB,101174.4
a0YRg00000Pl55uMAB,29275.14
a0YRg00000Pl5QwMAJ,25211.68
a0YRg00000Pl6GZMAZ,200558.71
a0YRg00000Pl6UzMAJ,29640.44
a0YRg00000Pl6zdMAB,29275.14
a0YRg00000Pl7KcMAJ,29235.07
a0YRg00000Pl7MEMAZ,29275.14
a0YRg00000PlAoqMAF,203799.12
a0YRg00000PlAorMAF,143320.71
a0YRg00000PlGKnMAN,85992
a0YRg00000PlJC9MAN,57328
a0YRg00000PlJFLMA3,171984
a0YRg00000PlJf9MAF,37000
a0YRg00000PlLU1MAN,257886.71
a0YRg00000PlMDBMA3,28664
a0YRg00000PlMbNMAV,28664.16
a0YRg00000PnjAXMAZ,99693
a0YRg00000PnlfLMAR,66462
a0YRg00000Pnm1vMAB,334340.7
a0YRg00000Pnm1wMAB,99395.58
a0YRg00000PnoF1MAJ,199386
a0YRg00000Pnoq7MAB,36700
a0YRg00000PnpiwMAB,631389
a0YRg00000Pnq2HMAR,607595.58
a0YRg00000Pnq2IMAR,67510.62
a0YRg00000Pnq2JMAR,67510.62
a0YRg00000Pnq2KMAR,67510.62
a0YRg00000Pnq2LMAR,67510.62
a0YRg00000Pnq2MMAR,67510.62
a0YRg00000Pnq2NMAR,67510.62
a0YRg00000PnqFDMAZ,36700
a0YRg00000PnrXsMAJ,196592.76
a0YRg00000Pns5hMAB,468379.9
a0YRg00000Pns7JMAR,332310
a0YRg00000PnsAXMAZ,432003
a0YRg00000PnsQfMAJ,531696
a0YRg00000PnsTtMAJ,731082
a0YRg00000PnsnGMAR,66462
a0YRg00000PnswwMAB,55270
a0YRg00000PntUnMAJ,223181.4
a0YRg00000PnuHDMAZ,165808
a0YRg00000PnvbSMAR,29059.4
a0YRg00000PnvbTMAR,29058.6
a0YRg00000PnvegMAB,29060
a0YRg00000Pnw1GMAR,29059.4
a0YRg00000Pnw1HMAR,29028.6
a0YRg00000PnwAvMAJ,193443
a0YRg00000PnwE9MAJ,221078
a0YRg00000PnwFlMAJ,248713
a0YRg00000PnwFmMAJ,27635
a0YRg00000PnwNpMAJ,276348
a0YRg00000PnwfZMAR,82905
a0YRg00000Pnx3lMAB,37000
a0YRg00000Pnxa1MAB,145297
a0YRg00000Pnxa2MAB,61268.8
a0YRg00000Pnxa3MAB,145297
a0YRg00000Pnxa4MAB,28999.4
a0YRg00000PnxmwMAB,29060
a0YRg00000PnxmxMAB,29468
a0YRg00000PnxwbMAB,29060
a0YRg00000PnxyDMAR,29060
a0YRg00000Pny1RMAR,29060
a0YRg00000Pny4fMAB,29060
a0YRg00000Pny6HMAR,29060
a0YRg00000Pny7uMAB,29060
a0YRg00000PnyB7MAJ,29060
a0YRg00000PpoR1MAJ,361997.68
a0YRg00000Ppq9TMAR,1200000
a0YRg00000PpwI7MAJ,38113.32
a0YRg00000PpwI8MAJ,174818.88
a0YRg00000Ppx7iMAB,157165.4
a0YRg00000Ppyq9MAB,37000
a0YRg00000Pq2FSMAZ,27650.98
a0YRg00000Pq2FTMAZ,27650.98
a0YRg00000Pq2FUMAZ,27650.98
a0YRg00000Pq2FVMAZ,15317.02
a0YRg00000Pq2FWMAZ,222507.88
a0YRg00000PqAMmMAN,27650.98
